Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
2111,02/25/2015 12:00:00 AM,14565,B31275      ,110,01    BREAKDOWN            ***,BROKEN PLOW FRAMEPARTS ON EARLYER BILL,0,0,0
2111,02/25/2015 12:00:00 AM,14592,525670,232,13    SNOW BREAKDOWN,RIGHT PLOW LIGHT OUTADJUST CONVEYOR CHAININSTALL  AIMS UNIT,0,0,0
2111,02/25/2015 12:00:00 AM,14656,A00413      ,283,13    SNOW BREAKDOWN,ROAD CALL TO SCOFIELD YARDNO START,0,0,0
2111,03/02/2015 12:00:00 AM,14349,1466,124,13    SNOW BREAKDOWN,PLOW CONTROL HANDLES LOOSE,0,0,0
2111,03/02/2015 12:00:00 AM,14572,110301,607,13    SNOW BREAKDOWN,SANDER WILL NOT SPIN,0,0,0
2111,03/02/2015 12:00:00 AM,14619,B39109      ,178,13    SNOW BREAKDOWN,TAILGATE LOCKS,0,0,0
2111,03/02/2015 12:00:00 AM,14637,1365,244,13    SNOW BREAKDOWN,ROAD CALL TO SCOFIELD YARDBROKEN PLOW CABLE,0,0,0
2111,03/02/2015 12:00:00 AM,14681,1469,122,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0
2111,03/06/2015 12:00:00 AM,14525,1226,117,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0
2111,03/06/2015 12:00:00 AM,14569,68934,146,13    SNOW BREAKDOWN,NO START,0,0,0
2111,03/06/2015 12:00:00 AM,14607,B34631      ,277,13    SNOW BREAKDOWN,ROADCALL TO HIGHWAYSNO START,0,0,0
2111,03/06/2015 12:00:00 AM,14631,B00362      ,107,13    SNOW BREAKDOWN,REPAIR PLOW LIGHTS PLOW FELL OFF,0,0,0
2111,03/06/2015 12:00:00 AM,14688,B34631      ,277,13    SNOW BREAKDOWN,WILL NOT START,0,0,0
2111,03/09/2015 12:00:00 AM,14752,1629,235,13    SNOW BREAKDOWN,CHECK CONEYOR & CONTROLS FOR ADJUSTMENT,0,0,0
2111,03/09/2015 12:00:00 AM,14759,68934,146,13    SNOW BREAKDOWN,"KEY BROKEN IN IGNITION, WILL NOT START",0,0,0
2111,03/16/2015 12:00:00 AM,14654,149771,612,04    DRIVER'S REPORT,BATTERY KEEPS GOING DEAD,0,0,0
2111,03/16/2015 12:00:00 AM,14690,68934,146,13    SNOW BREAKDOWN,WILL NOT START,0,0,0
2111,03/16/2015 12:00:00 AM,14697,1629,235,13    SNOW BREAKDOWN,CONVEYOR DOES NOT WORK,0,0,0
2111,03/16/2015 12:00:00 AM,14746,1403,226,13    SNOW BREAKDOWN,CHECK SINNER & AUGER ASSY,0,0,0
2111,03/16/2015 12:00:00 AM,14767,621923,211,13    SNOW BREAKDOWN,CHECK WARNING LIGHT ON DASH,0,0,0
2111,03/26/2015 12:00:00 AM,14684,1366,242,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,0,0,0
2111,03/26/2015 12:00:00 AM,14854,B34629      ,167,10    ROADCALL,DONT START,0,0,0
2111,03/27/2015 12:00:00 AM,14738,621922,212,13    SNOW BREAKDOWN,CHECK PLOW CABLES,0,0,0
2111,03/30/2015 12:00:00 AM,14834,P2135D      ,153,04    DRIVER'S REPORT,SWEEPER WATER LINE PLUGGED.,0,0,0
2111,03/30/2015 12:00:00 AM,14896,574950,215,04    DRIVER'S REPORT,CHECK ENGINE LIGHT ON.,0,0,0
2111,03/30/2015 12:00:00 AM,14932,W02240      ,179,04    DRIVER'S REPORT,WILL NOT START,0,0,0
2116,02/24/2015 12:00:00 AM,14620,146198,27,04    DRIVER'S REPORT,CHECK ENGINE LIGHT ON,0,0,0
2116,03/27/2015 12:00:00 AM,14905,645957,263,10    ROADCALL,DONT START,0,0,0
2121,01/15/2015 12:00:00 AM,14258,348543,61,29    ACCIDENT,"ACCIDENTTWIN RIDGE AUTO BODYINVOIC E13064$4,895.23",0,0,0
2135,01/05/2015 12:00:00 AM,14153,242480,428,10    ROADCALL,WILL NOT START,0,0,0
2135,01/06/2015 12:00:00 AM,14173,B71793      ,59,10    ROADCALL,WILL NOT START,0,0,0
2135,02/05/2015 12:00:00 AM,14493,170716,54,04    DRIVER'S REPORT,FUEL SYSTEM INOP,0,0,0
2135,02/24/2015 12:00:00 AM,14582,C95216      ,435,10    ROADCALL,ROAD CALL TO PARKS DEPTNO START,0,0,0
2135,02/25/2015 12:00:00 AM,14575,C95216      ,435,10    ROADCALL,NO START,0,0,0
2135,03/02/2015 12:00:00 AM,14626,512810,50,13    SNOW BREAKDOWN,ALIGN PLOW LIGHTS,0,0,0
2135,03/26/2015 12:00:00 AM,14848,B71793      ,59,10    ROADCALL,NO START,0,0,0
2135,03/27/2015 12:00:00 AM,14748,524,495,13    SNOW BREAKDOWN,CHECK FLAT TIRE ON TRAILER (PRIORITY 1 PER SCACCO ),0,0,0
2137,01/06/2015 12:00:00 AM,14135,579138,21,04    DRIVER'S REPORT,WILL NOT START (BELL ST GARAGE),0,0,0
2139,01/15/2015 12:00:00 AM,14260,181580,642,04    DRIVER'S REPORT,REPLACE DRIVER DOOR PANNEL [WARRANTY],0,0,0
2139,01/26/2015 12:00:00 AM,14327,131049,643,13    SNOW BREAKDOWN,PUT REAR CHAINS ON,0,0,0
2139,01/26/2015 12:00:00 AM,14332,131050,651,04    DRIVER'S REPORT,PUT ON TIRE CHAINS,0,0,0
2139,01/30/2015 12:00:00 AM,14383,131050,658,13    SNOW BREAKDOWN,TAKE OFF CHAINSWIPER BLADES,0,0,0
2139,02/03/2015 12:00:00 AM,14363,166478,68,13    SNOW BREAKDOWN,PUT ON TIRE CHAINS,0,0,0
2139,02/04/2015 12:00:00 AM,14439,131050,651,13    SNOW BREAKDOWN,PUT TIRE CHAINS ON,0,0,0
2139,02/06/2015 12:00:00 AM,14448,166478,68,13    SNOW BREAKDOWN,INSTALL TIRE CHAINS,0,0,0
2139,02/06/2015 12:00:00 AM,14469,166478,68,13    SNOW BREAKDOWN,REMOVE TIRE CHAINS,0,0,0
2139,02/24/2015 12:00:00 AM,14325,B00195      ,646,04    DRIVER'S REPORT,CHECK POWER STEERING,0,0,0
2139,02/25/2015 12:00:00 AM,14595,B00196      ,652,04    DRIVER'S REPORT,AIMS FUEL SYSTEM NOT WORKING.,0,0,0
2139,03/02/2015 12:00:00 AM,14635,166479,67,13    SNOW BREAKDOWN,REMOVE TIRE CHAINS,0,0,0
2139,03/06/2015 12:00:00 AM,14692,166479,67,13    SNOW BREAKDOWN,INSTALL TIRE CHAINS,0,0,0
2141,01/20/2015 12:00:00 AM,14241,626179,390,10    ROADCALL,DONT START,0,0,0
2141,02/24/2015 12:00:00 AM,14510,965476,389,04    DRIVER'S REPORT,BRAKES NOT HOLDING,0,0,0
2143,01/07/2015 12:00:00 AM,14008,B20091      ,35,04    DRIVER'S REPORT,"CHECK RADIO ,DOES NOT WORK..REPLACE 2 WAY",0,0,0
2143,01/20/2015 12:00:00 AM,14287,27571,366,04    DRIVER'S REPORT,CHECK PARKING BRAKERIGHT SIDE MIRROR LOSE,0,0,0
2143,02/13/2015 12:00:00 AM,14563,50552,359,04    DRIVER'S REPORT,REAR VIEW CAMERA INOP,0,0,0
2143,02/17/2015 12:00:00 AM,14472,50551,361,04    DRIVER'S REPORT,LEFT REAR LIGHT FELL OUT,0,0,0
2143,02/17/2015 12:00:00 AM,14561,901894,377,04    DRIVER'S REPORT,2 WAY RADIO CUTS IN AND OUT,0,0,0
2143,02/24/2015 12:00:00 AM,14487,48877,373,04    DRIVER'S REPORT,2 WAY RADIO INOPL/S TOTER BRACKETREAR CAMERA,0,0,0
2143,03/09/2015 12:00:00 AM,14492,50761,363,04    DRIVER'S REPORT,2 WAY RADIO,0,0,0
2143,03/27/2015 12:00:00 AM,14827,49618,356,04    DRIVER'S REPORT,TAILGATE SENSOR DO NOT WORK (BEEPS),0,0,0
2200,01/14/2015 12:00:00 AM,14252,205786,29,04    DRIVER'S REPORT,DRIVER DOOR DONT CLOSE,0,0,0
2210,02/24/2015 12:00:00 AM,14357,311542,11,13    SNOW BREAKDOWN,PLOW LIGHTS,0,0,0
2340,02/24/2015 12:00:00 AM,14598,334872,44,10    ROADCALL,CHECK ENGINE LIGHT ON.,0,0,0
2530,02/17/2015 12:00:00 AM,14547,168849,78,10    ROADCALL,ROAD CALL TO GOVERMENT CENTERWILL NOT START,0,0,0
2600,01/20/2015 12:00:00 AM,14276,B00189      ,1,04    DRIVER'S REPORT,FRONT RIGHT TIRE SLOW LEAKFILL WITH GASGET CAR CLEAN,0,0,0
3810,01/06/2015 12:00:00 AM,14168,142162,688,04    DRIVER'S REPORT,CHECK AIR PRESS IN TIRES,0,0,0
3810,02/04/2015 12:00:00 AM,14310,334522,681,04    DRIVER'S REPORT,CHECK AIR PEESS IN TIRES,0,0,0
