Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
2111,02/24/2015 12:00:00 AM,14442,555360,115,13    SNOW BREAKDOWN,TRANS NOT SHIFTING,64.25,0,64.25
2141,03/16/2015 12:00:00 AM,14803,323009,384,04    DRIVER'S REPORT,NEEDS WIPER BLADE NEEDS AIR HOSE/JIM F,61.33,0,61.33
2111,02/13/2015 12:00:00 AM,14471,1758,123,13    SNOW BREAKDOWN,NO REV LIGHT OR BEEPERNO POWERADJUST CONVEYORCHECK LIGHTS ON DASH,61,0,61
2143,02/24/2015 12:00:00 AM,14608,27571,366,04    DRIVER'S REPORT,DRIVERS WINDOW WILL NOT ROLL UP,59.3,0,59.3
2111,03/23/2015 12:00:00 AM,14895,621907,208,40    NEGLIGENCE,CHECK PASSENGER SIDE MIRROR BRACKET,58.53,0,58.53
2210,02/25/2015 12:00:00 AM,14429,311542,11,13    SNOW BREAKDOWN,PLOW DONT GO DOWN,57.1,0,57.1
2111,01/23/2015 12:00:00 AM,14309,555361,249,04    DRIVER'S REPORT,NEEDS HYD HOSE,56.83,0,56.83
2111,03/02/2015 12:00:00 AM,14615,1243,116,04    DRIVER'S REPORT,COOLANT LEAK,56.3,0,56.3
2143,01/14/2015 12:00:00 AM,14202,50760,362,04    DRIVER'S REPORT,needs fuel filters /picked up by rob lotts,54.69,0,54.69
2111,01/15/2015 12:00:00 AM,14256,621907,208,04    DRIVER'S REPORT,CHECK FOR OIL OR TRANS LEAKSPINNER LIGHTADJ CONVOYOR CHAINPLOW LIGHTS NOT WORKING,52.32,0,52.32
2143,01/29/2015 12:00:00 AM,14398,50551,361,04    DRIVER'S REPORT,NEEDS HEADLAMP SWITCH,52.24,0,52.24
2600,01/06/2015 12:00:00 AM,14170,B00189      ,1,08    PM SERVICE              ***,"COMPLETE PM SERVICE, LOOK FOR CODES",50.13,0,50.13
2111,01/06/2015 12:00:00 AM,14157,621909,213,40    NEGLIGENCE,TARP VALVE STICKINGRIGHT SIDE MIRROR BRACKET BROKEN,50.02,0,50.02
2111,02/10/2015 12:00:00 AM,14490,1467,121,13    SNOW BREAKDOWN,PLOW CABLE BROKEN,50,0,50
2111,01/14/2015 12:00:00 AM,13999,B39109      ,178,01    BREAKDOWN            ***,CHECK PTO PUMP,49.33,0,49.33
2137,01/21/2015 12:00:00 AM,14290,579137,25,08    PM SERVICE              ***,PM SERVICE,48.2,0,48.2
2111,03/30/2015 12:00:00 AM,14816,259441,275,04    DRIVER'S REPORT,MISSING KEYS/JOSE,47.72,0,47.72
2111,01/26/2015 12:00:00 AM,14294,68932,147,04    DRIVER'S REPORT,NO STARTNO PTO,47.12,0,47.12
2111,01/20/2015 12:00:00 AM,14255,D14803      ,611,04    DRIVER'S REPORT,CHECK OILHOOD DONT CLOSE,46.02,0,46.02
2111,02/04/2015 12:00:00 AM,14356,B34632      ,276,13    SNOW BREAKDOWN,PLOW LIGHTS,45.76,0,45.76
2111,02/24/2015 12:00:00 AM,14504,621924,210,40    NEGLIGENCE,RIGHT FRONT HUB MISSINGRIGHT LOWER MIRROR BRACKET BROKEN,45.53,0,45.53
2111,01/02/2015 12:00:00 AM,14006,1243,116,04    DRIVER'S REPORT,NEED 4 PLOW PINS,45,0,45
2141,02/13/2015 12:00:00 AM,14544,K02024      ,381,04    DRIVER'S REPORT,OIL AND GREASE,44.78,0,44.78
2137,01/28/2015 12:00:00 AM,14306,579118,17,08    PM SERVICE              ***,SERVICE WIPER BLADES,43.83,0,43.83
2111,02/11/2015 12:00:00 AM,14519,68933,148,13    SNOW BREAKDOWN,PLOW GUIDESTAIL GATE WONT SHUTNO PTO PUMP,43.23,0,43.23
2135,03/06/2015 12:00:00 AM,14714,512810,50,04    DRIVER'S REPORT,NEEDS PLOW GUIDESHUB CAP MISSING,42.63,0,42.63
2111,02/24/2015 12:00:00 AM,14352,1759,131,13    SNOW BREAKDOWN,CONVOYOR CHAIN LOOSEPLOW LIGHTS,41.79,0,41.79
2143,01/21/2015 12:00:00 AM,14262,45477,347,04    DRIVER'S REPORT,CHECK OIL AND ANTI FREZZELEFT MIRROR BROKEN,40.64,0,40.64
2111,01/15/2015 12:00:00 AM,14229,1226,117,04    DRIVER'S REPORT,NO TAIL LIGHTS,40,0,40
2111,03/26/2015 12:00:00 AM,14710,525671,233,13    SNOW BREAKDOWN,RIGHT SIDE MIRROR BRACKET BASE BROKEN (NEGLIGENCE),39.99,0,39.99
2111,01/14/2015 12:00:00 AM,14239,621924,210,40    NEGLIGENCE,MIRROR BRACKET LEFT SIDE,39.56,0,39.56
2139,03/02/2015 12:00:00 AM,14669,166479,67,04    DRIVER'S REPORT,NO BLOWER FAN ON LOW NOISE IN FRONT END,39.09,0,39.09
1020,01/14/2015 12:00:00 AM,14232,230973,13,08    PM SERVICE              ***,"SERVICEROB,EXT,5604",38.87,0,38.87
2111,02/24/2015 12:00:00 AM,14354,621924,210,40    NEGLIGENCE,MIRROR BRAKET,38.53,0,38.53
3810,03/16/2015 12:00:00 AM,14675,205443,670,08    PM SERVICE              ***,ROAD CALL TO GOVERMENT CENTER NO STARTPM SERVICE,36.53,0,36.53
2135,02/02/2015 12:00:00 AM,14304,512606,51,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSERVICE,36.18,0,36.18
2111,03/02/2015 12:00:00 AM,14650,1467,121,13    SNOW BREAKDOWN,HYD LEAK AT PLOW,35.5,0,35.5
2142,01/15/2015 12:00:00 AM,14265,718765,337,04    DRIVER'S REPORT,GREASE/MIKE,35,0,35
2111,03/06/2015 12:00:00 AM,14687,1366,242,13    SNOW BREAKDOWN,ADJUST CONVEYOR CHAIN,35,0,35
2111,03/16/2015 12:00:00 AM,14761,172539,105,13    SNOW BREAKDOWN,CHECK PLOW BLADE BOLTS NEEDED/ NO POWER,34.82,0,34.82
2141,03/27/2015 12:00:00 AM,14934,30519,388,04    DRIVER'S REPORT,NEEDS D/S SEAT CUSHION/JIM,31.85,0,31.85
2143,03/27/2015 12:00:00 AM,14559,49328,358,04    DRIVER'S REPORT,HEAD LIGHT,30.96,0,30.96
2111,02/06/2015 12:00:00 AM,14430,1222,118,13    SNOW BREAKDOWN,SPINNER LIGHT OUTCONTROLS LOOSE,30.77,0,30.77
2111,03/06/2015 12:00:00 AM,14629,Y11540      ,186,13    SNOW BREAKDOWN,ROAD CALL TO 6TH AND SUMMER WILL NOT MOVE,30,0,30
2111,03/23/2015 12:00:00 AM,14897,621924,210,04    DRIVER'S REPORT,CHECK PASSENGER SIDE MIRROR BRACKET,29.99,0,29.99
2530,03/27/2015 12:00:00 AM,14872,40857,404,04    DRIVER'S REPORT,"WILL NOT START ,PM SERVICE",29.59,0,29.59
2111,01/07/2015 12:00:00 AM,14199,52565,626,04    DRIVER'S REPORT,WASHER FLUIDDEF,28.88,0,28.88
2111,01/13/2015 12:00:00 AM,14158,337655,234,04    DRIVER'S REPORT,PLOW LIGHTS DONT WORKRIGHT HEAD LIGHT OUT,28.76,0,28.76
2111,02/19/2015 12:00:00 AM,14451,1222,118,13    SNOW BREAKDOWN,CONTROL LEVER,28.72,0,28.72
2111,03/30/2015 12:00:00 AM,14297,B34630      ,168,01    BREAKDOWN            ***,TOWED IN STALLS WHILE DRIVING,28.33,0,28.33
2111,02/24/2015 12:00:00 AM,14410,1758,123,13    SNOW BREAKDOWN,MARKER LIGHTS MISSINGWIPER BLADESAIR HORN BRAKET MUD FLAP,27.83,0,27.83
2111,01/30/2015 12:00:00 AM,14380,1365,244,13    SNOW BREAKDOWN,"ROAD CALL TO HUNTING RIDGE RD, LIGHT ON IN DASH",27,0,27
2143,02/25/2015 12:00:00 AM,14664,50551,361,40    NEGLIGENCE,NEEDS DEF CAP/JIM F,26.49,0,26.49
2111,03/16/2015 12:00:00 AM,14755,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE & LEFT PLOW LIGHT HIGH BEAM,26.21,0,26.21
2143,02/04/2015 12:00:00 AM,14279,49616,351,10    ROADCALL,ROAD CALL TO LONG RIDGE RD,25.68,0,25.68
2111,03/26/2015 12:00:00 AM,14693,525999,114,13    SNOW BREAKDOWN,HYDRA LEAK,25.36,0,25.36
2111,03/06/2015 12:00:00 AM,14766,B34632      ,276,04    DRIVER'S REPORT,NEW PLOW GUIDE POLLS,25.34,0,25.34
2111,02/24/2015 12:00:00 AM,14269,B71797      ,272,04    DRIVER'S REPORT,STROBE LIGHTS INOP CHECK REV LIGHTS,25.16,0,25.16
2143,01/30/2015 12:00:00 AM,14382,45477,347,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,25,0,25
2135,02/10/2015 12:00:00 AM,14462,D12433      ,444,13    SNOW BREAKDOWN,PLOW BOLTS MISSING,25,0,25
2111,03/02/2015 12:00:00 AM,14347,B20087      ,619,13    SNOW BREAKDOWN,PLOW BLADE BOLTS MISSING,25,0,25
2143,02/24/2015 12:00:00 AM,14636,B90933      ,34,13    SNOW BREAKDOWN,REBOLT PLOW BLADE,25,0,25
2143,02/27/2015 12:00:00 AM,14348,B90933      ,34,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,25,0,25
2143,03/25/2015 12:00:00 AM,14912,B90933      ,34,04    DRIVER'S REPORT,CHECK DUMP BODY,25,0,25
2135,03/27/2015 12:00:00 AM,14550,Y14264      ,531,04    DRIVER'S REPORT,BELT NOISE.CHECK REAR STROBES.HYD. LINES ON BUCKET.DEFLECTOR ON SPREADER IS BENT.,25,0,25
2135,03/06/2015 12:00:00 AM,14744,512810,50,40    NEGLIGENCE,MISSING PLOW BOLTS,25,0,25
2111,01/26/2015 12:00:00 AM,14359,68934,146,13    SNOW BREAKDOWN,PLOW LIGHT RIGHT SIDE DIM,25,0,25
2111,03/26/2015 12:00:00 AM,14881,621922,212,13    SNOW BREAKDOWN,CHECK AUTO TARP ASSY ON R/SIDE,24.2,0,24.2
2141,01/30/2015 12:00:00 AM,14388,938747,188,13    SNOW BREAKDOWN,CENTER PIN ON PLOW,23.77,0,23.77
2111,02/27/2015 12:00:00 AM,14641,574950,215,40    NEGLIGENCE,FRONT WHEEL HUB MISSINGFRONT FRENDER BROKEN,23.49,0,23.49
2121,03/05/2015 12:00:00 AM,14740,A97772      ,94,11    OTHER,NEEDS PLOW FLUID FOR STOCKSTARING FLUID,23.18,0,23.18
2139,02/24/2015 12:00:00 AM,14503,B00195      ,646,04    DRIVER'S REPORT,CHECK SIGNALSREPLACE WIPERS,23.06,0,23.06
2135,02/04/2015 12:00:00 AM,14428,512810,50,13    SNOW BREAKDOWN,PLOW GUIDE BROKEN,22.81,0,22.81
2111,03/02/2015 12:00:00 AM,14704,68935,149,40    NEGLIGENCE,L/FRONT HUB CAP BROKEN,22.65,0,22.65
2530,02/04/2015 12:00:00 AM,14379,176729,408,13    SNOW BREAKDOWN,CHECK PLOW OILWIPER BLADES,22.48,0,22.48
2111,03/02/2015 12:00:00 AM,14574,1467,121,13    SNOW BREAKDOWN,NO STROBES NO REX ROTH SYSTEM,21.87,0,21.87
2143,01/21/2015 12:00:00 AM,14291,50903,353,09    REWORK,WORK LIGHTS NOT WORKING..THIS IS RE-DO WORK FROM A PREVIOUS REPAIR.,21.62,0,21.62
2210,01/30/2015 12:00:00 AM,14372,311542,11,13    SNOW BREAKDOWN,WIPER BLADES,21.6,0,21.6
2139,01/30/2015 12:00:00 AM,14376,B00196      ,652,13    SNOW BREAKDOWN,WIPER BLADESTAKE OFF TIRE CHAINS,21.6,0,21.6
2210,03/16/2015 12:00:00 AM,14776,184891,9,13    SNOW BREAKDOWN,CHECK WIPER BLADES,21.6,0,21.6
2143,01/30/2015 12:00:00 AM,14124,45476,348,04    DRIVER'S REPORT,"HEATER , BLOWER NOT WORKING",20.5,0,20.5
2143,03/02/2015 12:00:00 AM,14596,271148,336,04    DRIVER'S REPORT,NEEDS BRAKE FLUID/LOTTS/DONNIE,20.43,0,20.43
2135,03/25/2015 12:00:00 AM,14699,170716,54,13    SNOW BREAKDOWN,CHECK PLOW BOLTS,20,0,20
2111,02/04/2015 12:00:00 AM,14427,555360,115,13    SNOW BREAKDOWN,PLOW LIGHT DIMCONVOYOR STUCK,20,0,20
